Rk,School,Overall G,Overall W,Overall L,Overall W-L%,Overall SRS,Overall SOS,Conf. W,Conf. L,Home W,Home L,Home W-L%,Away W,Away L,Away W-L%,Points Tm.,Points Opp.,Column1,School Totals MP,School Totals FG,School Totals FGA,School Totals FG%,School Totals 3P,School Totals 3PA,School Totals 3P%,School Totals FT,School Totals FTA,School Totals FT%,School Totals ORB,School Totals TRB,School Totals AST,School Totals STL,School Totals BLK,School Totals TOV,School Totals PF
152,Long Island University,34,18,16,0.529,-8.07,-7.95,10,8,12,4,0.75,5,11,0.3125,2635,2603,,1365,916,2005,0.457,272,789,0.345,531,763,0.696,363,1295,429,191,111,481,668
153,Longwood,33,7,26,0.212,-18.29,-4.29,3,15,5,11,0.3125,2,13,0.133333333,2088,2445,,1320,728,1764,0.413,226,691,0.327,406,591,0.687,263,1070,327,218,102,516,575
154,Louisiana,33,27,6,0.818,7.99,-2.72,16,2,14,1,0.933333333,10,3,0.769230769,2753,2324,,1325,944,2019,0.468,290,790,0.367,575,756,0.761,414,1285,582,250,143,439,621
155,Louisiana-Monroe,31,16,15,0.516,-5.57,-3,9,9,12,4,0.75,3,10,0.230769231,2169,2107,,1250,786,1809,0.434,282,776,0.363,315,439,0.718,289,1047,436,200,40,363,514
156,Louisiana State,31,17,14,0.548,11.9,8.29,8,10,13,4,0.764705882,3,7,0.3,2404,2292,,1245,861,1812,0.475,256,726,0.353,426,582,0.732,303,1040,442,238,100,357,551
157,Louisiana Tech,33,17,16,0.515,1.03,-0.42,7,11,11,5,0.6875,2,10,0.166666667,2468,2331,,1325,838,1877,0.446,287,765,0.375,505,697,0.725,314,1137,470,196,131,405,569
158,Louisville,33,20,13,0.606,15.13,9.47,9,9,14,5,0.736842105,4,7,0.363636364,2515,2328,,1340,897,1967,0.456,256,690,0.371,465,631,0.737,333,1215,451,231,201,392,543
159,Loyola (IL),33,28,5,0.848,9.37,-0.28,15,3,14,1,0.933333333,9,4,0.692307692,2390,2054,,1320,869,1714,0.507,246,618,0.398,406,561,0.724,209,1067,519,219,82,404,456
160,Loyola Marymount,31,11,20,0.355,-3.92,1.55,5,13,7,7,0.5,3,12,0.2,2226,2369,,1250,803,1815,0.442,199,573,0.347,421,593,0.71,377,1016,441,216,72,407,607
161,Loyola (MD),31,9,22,0.29,-12.64,-5.18,6,12,8,6,0.571428571,1,16,0.058823529,2154,2326,,1255,797,1820,0.438,163,509,0.32,397,608,0.653,332,1076,360,218,97,414,614
